Time,Lunar Garden/Tower of Friendship,Rockery waterfall,Guo Pu Dun,Mi Fu stone,Lotus Square,Nona Tower/Lama Temple,Sakura King,Lawn,Huanliu Pavilion,Lianhu Academy,Mengchun Public House,Wind Lotus Garden,Guo Pu Memorial Museum,Close to Mother Tongue School,Gunley Art Appreciation Center,Total
540,0.371696172,0.086601214,1.815078034,0.135674389,0.453796853,3.776850792,0.457418033,0.536143615,0.649201744,0.827696729,0.281163848,0.354759021,0.716311511,0.211497699,0.669266076,3.776850792
550,0.371321531,0.08514397,1.782766869,0.134958618,0.458093637,3.770373614,0.454721831,0.528026065,0.638058702,0.820225691,0.276453864,0.348719428,0.705162674,0.208301341,0.657556454,3.770373614
560,0.296977666,0.083565289,1.752454332,0.133884961,0.459724697,3.724061791,0.447143145,0.516661494,0.62353898,0.775134999,0.269189877,0.342242182,0.693624923,0.204946159,0.645010431,3.724061791
570,0.258569416,0.080008921,1.696825832,0.132095534,0.456552939,3.594437265,0.429589148,0.495747733,0.583694163,0.689449461,0.252381539,0.328178974,0.678911051,0.200439493,0.617170207,3.594437265
580,0.244385488,0.074856524,1.603556489,0.12923245,0.447810272,3.435746402,0.409619406,0.469697775,0.532537469,0.620050347,0.232148513,0.307755227,0.654085442,0.192915148,0.576903445,3.435746402
590,0.239170478,0.069478601,1.493965012,0.124937824,0.434983175,3.277784222,0.389777143,0.441404423,0.486783462,0.575047809,0.213756361,0.285989348,0.619083278,0.182631215,0.534724909,3.277784222
600,0.23724482,0.064725211,1.389703211,0.118853771,0.419720782,3.127189832,0.370457549,0.413804751,0.452679,0.548491463,0.199311308,0.266411728,0.579738252,0.171156093,0.497564782,3.127189832
610,0.236540494,0.060908621,1.301763545,0.112411832,0.403243,2.984772879,0.352106802,0.389260231,0.429717579,0.533615501,0.188937736,0.25053956,0.541819241,0.16011774,0.468051755,2.984772879
620,0.225293756,0.057976785,1.232810852,0.106327779,0.386354064,2.847942492,0.334801391,0.368464542,0.414184854,0.519422732,0.181325475,0.238256135,0.509085736,0.150488961,0.445588398,2.847942492
630,0.219516783,0.055513349,1.177182352,0.100601611,0.369365728,2.712407541,0.318222617,0.350605931,0.400171634,0.502717578,0.174608773,0.227956731,0.482185924,0.142507994,0.426948592,2.712407541
640,0.217381326,0.053414225,1.129548366,0.095591214,0.352675592,2.588450545,0.303715392,0.335861508,0.388015588,0.490309925,0.168970061,0.219203697,0.459823431,0.135837334,0.410937476,2.588450545
650,0.216602072,0.051696759,1.090242,0.090938703,0.336889091,2.481577107,0.291598418,0.323950848,0.378560885,0.482552386,0.164624936,0.212055385,0.441090791,0.130278452,0.397913509,2.481577107
660,0.216309852,0.0503783,1.059263254,0.087359848,0.322498706,2.392273015,0.281699596,0.314549248,0.37197636,0.478034502,0.161523644,0.206511797,0.42572873,0.12573208,0.387996176,2.392273015
670,0.216204952,0.049406805,1.035612814,0.084138878,0.309780045,2.319161867,0.273751217,0.307346767,0.367755511,0.475544156,0.15941742,0.202427048,0.413542791,0.122138659,0.380827019,2.319161867
680,0.240496709,0.048851664,1.019956889,0.08163368,0.298922872,2.269611455,0.268728505,0.303287992,0.367755511,0.487621232,0.159359374,0.200063728,0.404403337,0.119418777,0.376883983,2.269611455
690,0.253062186,0.04926802,1.019290679,0.079486367,0.290749495,2.257385781,0.268301447,0.304262098,0.377885549,0.514287771,0.163306473,0.201435037,0.399153013,0.117929791,0.380349075,2.257385781
700,0.257700248,0.050430345,1.036945233,0.078412711,0.285553594,2.264348748,0.269907695,0.30855702,0.392911773,0.536282155,0.168961769,0.205928261,0.39986602,0.118187882,0.389668979,2.264348748
710,0.259408613,0.051835544,1.063926721,0.078412711,0.28286528,2.279893975,0.272597523,0.314859191,0.406924993,0.550629193,0.174401468,0.21155938,0.405958989,0.119974666,0.400900657,2.279893975
720,0.260031193,0.053154697,1.091584413,0.079092693,0.282101253,2.30101751,0.276064323,0.321868253,0.417526416,0.559115764,0.17877205,0.216929367,0.415099739,0.122632923,0.411390089,2.30101751
