t,stock,v
725,257,0.23
726,257,0.23
727,260,0.29
728,260,0.29
729,260,0.29
730,262,0.29
731,267,0.3
732,269,0.3
733,269,0.28
734,268,0.28
735,270,0.28
736,271,0.28
737,274,0.3
738,275,0.3
739,275,0.28
740,275,0.28
741,275,0.29
742,275,0.29
743,275,0.27
744,274,0.27
745,276,0.27
746,276,0.27
747,276,0.27
748,278,0.27
749,278,0.26
750,278,0.26
751,277,0.24
752,278,0.24
753,277,0.24
754,279,0.24
755,280,0.28
756,282,0.28
757,281,0.27
758,281,0.27
759,281,0.24
760,284,0.24
761,284,0.27
762,283,0.27
763,282,0.25
764,282,0.25
765,283,0.23
766,283,0.23
767,283,0.24
768,282,0.24
769,282,0.23
770,285,0.23
771,284,0.27
772,283,0.27
773,282,0.25
774,281,0.25
775,281,0.25
776,280,0.25
777,280,0.24
778,282,0.24
779,282,0.24
780,282,0.24
781,281,0.24
782,284,0.24
783,283,0.24
784,283,0.24
785,283,0.25
786,282,0.25
787,281,0.24
788,280,0.24
789,279,0.25
790,281,0.25
791,280,0.24
792,277,0.24
793,277,0.23
794,277,0.23
795,276,0.22
796,276,0.22
797,276,0.21
798,276,0.21
799,275,0.23
800,276,0.23
801,275,0.26
802,275,0.26
803,274,0.25
804,273,0.25
805,273,0.23
806,273,0.23
807,272,0.25
808,272,0.25
809,271,0.24
810,271,0.24
811,270,0.25
812,270,0.25
813,271,0.26
814,271,0.26
815,271,0.24
816,270,0.24
817,269,0.24
818,272,0.24
819,270,0.24
820,269,0.24
821,269,0.24
822,271,0.24
823,271,0.25
824,270,0.25
825,269,0.26
826,269,0.26
827,269,0.24
828,268,0.24
829,268,0.23
830,268,0.23
831,272,0.26
832,275,0.26
833,275,0.27
834,275,0.27
835,275,0.22
836,274,0.22
837,274,0.23
838,274,0.23
839,273,0.21
840,273,0.21
841,274,0.25
842,277,0.25
843,275,0.24
844,276,0.24
845,279,0.24
846,283,0.24
847,282,0.28
848,282,0.28
849,282,0.26
850,281,0.26
851,280,0.22
852,280,0.22
853,281,0.21
854,282,0.21
855,281,0.22
856,281,0.22
857,281,0.22
858,284,0.22
859,284,0.25
860,283,0.25
861,281,0.22
862,281,0.22
863,283,0.22
864,283,0.22
865,283,0.23
866,283,0.23
867,282,0.22
868,283,0.22
869,281,0.23
870,281,0.23
871,281,0.23
872,280,0.23
873,280,0.24
874,279,0.24
875,278,0.22
876,278,0.22
877,280,0.22
878,282,0.22
879,281,0.23
880,280,0.23
881,280,0.23
882,283,0.23
883,284,0.24
884,285,0.24
885,284,0.24
886,286,0.24
887,286,0.27
888,286,0.27
889,288,0.25
890,290,0.25
891,292,0.27
892,293,0.27
893,294,0.26
894,293,0.26
895,293,0.23
896,293,0.23
897,293,0.24
898,293,0.24
899,293,0.25
900,293,0.25
901,293,0.24
902,293,0.24
903,293,0.25
904,293,0.25
905,292,0.25
906,291,0.25
907,291,0.26
